Id,reference
0,29.9818
1,68.1813
2,18.8402
3,71.5767
4,48.7475
5,56.8035
6,50.8909
7,73.3552
8,62.3085
9,55.5022
10,36.1556
11,67.7403
12,75.7679
13,17.4504
14,68.5638
15,76.6692
16,22.6957
17,74.3618
18,59.5149
19,87.5161
20,26.2344
21,30.3171
22,32.9986
23,43.4955
24,7.97928
25,63.7852
26,53.3806
27,34.0422
28,12.8196
29,85.7096
30,65.3447
31,35.2926
32,90.3534
33,87.6843
34,52.6554
35,87.2218
36,41.8839
37,77.2816
38,14.3784
39,43.4037
40,39.0563
41,39.4956
42,38.391
43,28.8964
44,28.3581
45,42.0902
46,32.7559
47,51.4485
48,37.0569
49,35.803
50,29.6435
51,7.96513
52,57.7961
53,70.7724
54,95.2389
55,59.4789
56,28.1136
57,19.3127
58,83.4508
59,90.6004
60,51.1474
61,41.2294
62,41.6588
63,37.053
64,30.8295
65,68.0314
66,14.0779
67,27.3773
68,22.5636
69,43.4604
70,55.4553
71,36.0212
72,56.9165
73,11.6172
74,31.8976
75,46.857
76,30.7619
77,30.4149
78,43.336
79,76.1632
80,69.1535
81,14.652
82,43.9199
83,72.9098
84,92.2885
85,31.2123
86,39.7928
87,13.7672
88,35.0819
89,63.3132
90,56.773
91,39.4916
92,18.4576
93,31.6026
94,64.8689
95,36.3383
96,26.1411
97,51.7121
98,38.9238
99,59.8361
100,30.5799
101,82.4453
102,18.3103
103,30.7931
104,28.3304
105,52.365
106,90.0284
107,49.5404
108,88.863
109,48.9317
110,31.0157
111,20.5104
112,60.1312
113,7.409
114,31.9984
115,48.2475
116,46.7964
117,27.2333
118,75.8369
119,81.0453
120,35.943
121,9.59471
122,43.9019
123,27.3956
124,30.1402
125,13.5184
126,56.9161
127,29.9724
128,18.1621
129,80.0603
130,11.9875
131,23.4078
132,30.4468
133,52.5904
134,87.9441
135,25.8144
136,31.7355
137,10.0556
138,80.1463
139,40.3637
140,84.4568
141,7.71769
142,77.6117
143,57.5205
144,34.3667
145,33.3239
146,62.9219
147,75.4211
148,38.2566
149,27.1331
150,10.2352
151,68.0099
152,48.5255
153,28.7212
154,35.6093
155,22.7666
156,75.3029
157,18.1191
158,42.2211
159,92.6346
